id_cliente;dt_entrega;dt_semana;qtd_aguas_entregues;qtd_aguas_ticket;obs_pedido;dt_estacao;dt_ano;dt_mes;cli_dias_desde_ultimo_pedido;cli_intervalo_medio;cli_frequencia_pedidos;cli_media_aguas_por_pedido;cli_total_pedidos;target_dt_proxima_compra;target_dias_ate_recompra;target_vai_comprar_15d
0089;2023-01-02;Segunda;1;03/03;;Verão;2023.0;1.0;0;5.91;1;1.01;1;2023-01-11;9;1
0102;2023-01-02;Segunda;1;0;;Verão;2023.0;1.0;0;;1;1.0;1;;0;0
0120;2023-01-02;Segunda;2;0;;Verão;2023.0;1.0;0;14.07;1;1.93;1;2023-01-18;16;0
0050;2023-01-02;Segunda;2;0;;Verão;2023.0;1.0;0;7.8;1;2.03;1;2023-01-09;7;1
0008;2023-01-02;Segunda;1;07/10;;Verão;2023.0;1.0;0;6.15;1;1.0;1;2023-01-06;4;1
0044;2023-01-02;Segunda;1;0;;Verão;2023.0;1.0;0;4.18;1;1.0;1;2023-01-06;4;1
0004;2023-01-04;Quarta;1;10/10;;Verão;2023.0;1.0;0;12.69;1;1.0;1;2023-01-17;13;1
0098;2023-01-04;Quarta;2;0;;Verão;2023.0;1.0;0;;1;2.0;1;;0;0
0097;2023-01-04;Quarta;2;0;;Verão;2023.0;1.0;0;10.3;1;2.05;1;2023-01-09;5;1
0010;2023-01-05;Quinta;4;11/15;;Verão;2023.0;1.0;0;5.97;1;2.0;1;2023-01-10;5;1
0095;2023-01-05;Quinta;1;0;;Verão;2023.0;1.0;0;16.5;1;1.0;1;2023-01-20;15;1
0061;2023-01-05;Quinta;2;0;;Verão;2023.0;1.0;0;10.91;1;1.93;1;2023-01-13;8;1
0019;2023-01-05;Quinta;1;0;;Verão;2023.0;1.0;0;7.39;1;1.34;1;2023-01-12;7;1
0099;2023-01-06;Sexta;1;0;;Verão;2023.0;1.0;0;8.71;1;1.39;1;2023-01-07;1;1
0008;2023-01-06;Sexta;1;08/10;;Verão;2023.0;1.0;4;6.15;2;1.0;2;2023-01-11;5;1
0129;2023-01-06;Sexta;1;0;;Verão;2023.0;1.0;0;4.33;1;1.06;1;2023-01-09;3;1
0044;2023-01-06;Sexta;1;0;;Verão;2023.0;1.0;4;4.18;2;1.0;2;2023-01-20;14;1
0081;2023-01-07;Sábado;1;0;;Verão;2023.0;1.0;0;17.92;1;1.02;1;2023-02-11;35;0
0099;2023-01-07;Sábado;1;0;;Verão;2023.0;1.0;1;8.71;2;1.39;2;2023-01-11;4;1
0097;2023-01-09;Segunda;2;0;;Verão;2023.0;1.0;5;10.3;2;2.05;2;2023-01-13;4;1
0129;2023-01-09;Segunda;1;0;;Verão;2023.0;1.0;3;4.33;2;1.06;2;2023-01-10;1;1
0050;2023-01-09;Segunda;2;0;;Verão;2023.0;1.0;7;7.8;2;2.03;2;2023-01-18;9;1
0003;2023-01-09;Segunda;2;0;;Verão;2023.0;1.0;0;2.0;1;2.0;1;2023-01-11;2;1
0010;2023-01-10;Terça;2;15/04;;Verão;2023.0;1.0;5;5.97;2;2.0;2;2023-01-19;9;1
0129;2023-01-10;Terça;1;0;;Verão;2023.0;1.0;1;4.33;3;1.06;3;2023-01-14;4;1
0008;2023-01-11;Quarta;1;09/10;;Verão;2023.0;1.0;5;6.15;3;1.0;3;2023-01-23;12;1
0099;2023-01-11;Quarta;1;0;;Verão;2023.0;1.0;4;8.71;3;1.39;3;2023-01-12;1;1
0003;2023-01-11;Quarta;2;0;;Verão;2023.0;1.0;2;2.0;2;2.0;2;;0;0
0089;2023-01-11;Quarta;1;02/05;;Verão;2023.0;1.0;9;5.91;2;1.01;2;2023-01-16;5;1
0127;2023-01-11;Quarta;2;0;;Verão;2023.0;1.0;0;11.09;1;1.1;1;2023-01-25;14;1
0099;2023-01-12;Quinta;1;0;;Verão;2023.0;1.0;1;8.71;4;1.39;4;2023-01-17;5;1
0019;2023-01-12;Quinta;1;0;;Verão;2023.0;1.0;7;7.39;2;1.34;2;2023-01-19;7;1
0097;2023-01-13;Sexta;2;0;;Verão;2023.0;1.0;4;10.3;3;2.05;3;2023-01-21;8;1
0126;2023-01-13;Sexta;1;0;;Verão;2023.0;1.0;0;21.71;1;1.0;1;2023-02-07;25;0
0111;2023-01-13;Sexta;1;0;;Verão;2023.0;1.0;0;;1;1.0;1;;0;0
0118;2023-01-13;Sexta;1;0;;Verão;2023.0;1.0;0;10.34;1;1.01;1;2023-01-30;17;0
0061;2023-01-13;Sexta;2;0;;Verão;2023.0;1.0;8;10.91;2;1.93;2;2023-01-18;5;1
0057;2023-01-14;Sábado;1;0;;Verão;2023.0;1.0;0;;1;1.0;1;;0;0
0020;2023-01-14;Sábado;2;0;;Verão;2023.0;1.0;0;6.7;1;1.91;1;2023-01-26;12;1
0129;2023-01-14;Sábado;1;0;;Verão;2023.0;1.0;4;4.33;4;1.06;4;2023-01-17;3;1
0021;2023-01-16;Segunda;2;0;;Verão;2023.0;1.0;0;16.35;1;1.66;1;2023-01-28;12;1
0104;2023-01-16;Segunda;1;0;;Verão;2023.0;1.0;0;10.0;1;1.0;1;2023-01-26;10;1
0089;2023-01-16;Segunda;1;03/03;;Verão;2023.0;1.0;5;5.91;3;1.01;3;2023-01-19;3;1
0099;2023-01-17;Terça;1;0;;Verão;2023.0;1.0;5;8.71;5;1.39;5;2023-02-02;16;0
0129;2023-01-17;Terça;1;0;;Verão;2023.0;1.0;3;4.33;5;1.06;5;2023-01-23;6;1
0004;2023-01-17;Terça;1;01/10;;Verão;2023.0;1.0;13;12.69;2;1.0;2;2023-01-26;9;1
0061;2023-01-18;Quarta;2;0;;Verão;2023.0;1.0;5;10.91;3;1.93;3;2023-01-30;12;1
0078;2023-01-18;Quarta;2;0;;Verão;2023.0;1.0;0;20.63;1;2.0;1;2023-02-08;21;0
0113;2023-01-18;Quarta;1;0;;Verão;2023.0;1.0;0;26.2;1;1.5;1;2023-01-27;9;1
0032;2023-01-18;Quarta;2;0;;Verão;2023.0;1.0;0;;1;2.0;1;;0;0
0050;2023-01-18;Quarta;2;0;;Verão;2023.0;1.0;9;7.8;3;2.03;3;2023-02-01;14;1
