data_pedido_entrega;semana;qnt_aguas_entregues;qnt_aguas_tickets;Obs;id_cliente
2023-01-02 00:00:00;Segunda;1.0; 03/03;;0089
2023-01-02 00:00:00;Segunda;1.0;;;0102
2023-01-02 00:00:00;Segunda;2.0;;;0120
2023-01-02 00:00:00;Segunda;2.0;;;0050
2023-01-02 00:00:00;Segunda;1.0; 07/10;;0008
2023-01-02 00:00:00;Segunda;1.0;;;0044
2023-01-04 00:00:00;Quarta;1.0; 10/10;;0004
2023-01-04 00:00:00;Quarta;2.0;;;0098
2023-01-04 00:00:00;Quarta;2.0;;;0097
2023-01-05 00:00:00;Quinta;4.0; 11/15;;0010
2023-01-05 00:00:00;Quinta;1.0;;;0095
2023-01-05 00:00:00;Quinta;2.0;;;0061
2023-01-05 00:00:00;Quinta;1.0;;;0019
2023-01-06 00:00:00;Sexta;1.0;;;0099
2023-01-06 00:00:00;Sexta;1.0; 08/10;;0008
2023-01-06 00:00:00;Sexta;1.0;;;0129
2023-01-06 00:00:00;Sexta;1.0;;;0044
2023-01-07 00:00:00;Sábado;1.0;;;0081
2023-01-07 00:00:00;Sábado;1.0;;;0099
2023-01-09 00:00:00;Segunda;2.0;;;0097
2023-01-09 00:00:00;Segunda;1.0;;;0129
2023-01-09 00:00:00;Segunda;2.0;;;0050
2023-01-09 00:00:00;Segunda;2.0;;;0003
2023-01-10 00:00:00;Terça;2.0; 15/04;;0010
2023-01-10 00:00:00;Terça;1.0;;;0129
2023-01-11 00:00:00;Quarta;1.0; 09/10;;0008
2023-01-11 00:00:00;Quarta;1.0;;;0099
2023-01-11 00:00:00;Quarta;2.0;;;0003
2023-01-11 00:00:00;Quarta;1.0; 02/05;;0089
2023-01-11 00:00:00;Quarta;2.0;;;0127
2023-01-12 00:00:00;Quinta;1.0;;;0099
2023-01-12 00:00:00;Quinta;1.0;;;0019
2023-01-13 00:00:00;Sexta;2.0;;;0097
2023-01-13 00:00:00;Sexta;1.0;;;0126
2023-01-13 00:00:00;Sexta;1.0;;;0111
2023-01-13 00:00:00;Sexta;1.0;;;0118
2023-01-13 00:00:00;Sexta;2.0;;;0061
2023-01-14 00:00:00;Sábado;1.0;;;0057
2023-01-14 00:00:00;Sábado;2.0;;;0020
2023-01-14 00:00:00;Sábado;1.0;;;0129
2023-01-16 00:00:00;Segunda;2.0;;;0021
2023-01-16 00:00:00;Segunda;1.0;;;0104
2023-01-16 00:00:00;Segunda;1.0; 03/03;;0089
2023-01-17 00:00:00;Terça;1.0;;;0099
2023-01-17 00:00:00;Terça;1.0;;;0129
2023-01-17 00:00:00;Terça;1.0; 01/10;;0004
2023-01-18 00:00:00;Quarta;2.0;;;0061
2023-01-18 00:00:00;Quarta;2.0;;;0078
2023-01-18 00:00:00;Quarta;1.0;;;0113
2023-01-18 00:00:00;Quarta;2.0;;;0032
2023-01-18 00:00:00;Quarta;2.0;;;0050
2023-01-18 00:00:00;Quarta;2.0;;;0120
2023-01-19 00:00:00;Quinta;2.0; 02/15;;0010
2023-01-19 00:00:00;Quinta;1.0;;;0112
2023-01-19 00:00:00;Quinta;1.0;;;0019
2023-01-19 00:00:00;Quinta;1.0;;;0082
2023-01-19 00:00:00;Quinta;1.0; 01/03;;0089
2023-01-20 00:00:00;Sexta;1.0;;;0025
2023-01-20 00:00:00;Sexta;1.0;;;0095
2023-01-20 00:00:00;Sexta;2.0;;;0063
2023-01-20 00:00:00;Sexta;1.0;;;0044
2023-01-21 00:00:00;Sábado;2.0;;;0097
2023-01-21 00:00:00;Sábado;1.0;;;0105
2023-01-23 00:00:00;Segunda;1.0; 02/03;;0089
2023-01-23 00:00:00;Segunda;1.0; 02/10;;0008
2023-01-23 00:00:00;Segunda;1.0;;;0132
2023-01-23 00:00:00;Segunda;1.0;;;0065
2023-01-23 00:00:00;Segunda;1.0;;;0129
2023-01-24 00:00:00;Terça;1.0;;;0112
2023-01-25 00:00:00;Quarta;2.0;;;0097
2023-01-25 00:00:00;Quarta;2.0;;;0127
2023-01-25 00:00:00;Quarta;1.0;;;0129
2023-01-25 00:00:00;Quarta;1.0;;;0044
2023-01-26 00:00:00;Quinta;2.0;;;0020
2023-01-26 00:00:00;Quinta;1.0;;;0023
2023-01-26 00:00:00;Quinta;1.0; 02/10;;0004
2023-01-26 00:00:00;Quinta;1.0;;Vaso;0063
2023-01-26 00:00:00;Quinta;1.0;;;0104
2023-01-27 00:00:00;Sexta;4.0;;;0010
2023-01-27 00:00:00;Sexta;1.0;;;0044
2023-01-27 00:00:00;Sexta;1.0;;;0129
2023-01-27 00:00:00;Sexta;1.0;;;0084
2023-01-27 00:00:00;Sexta;1.0;;;0113
2023-01-27 00:00:00;Sexta;1.0;;;0110
2023-01-28 00:00:00;Sábado;1.0; 03/03;;0089
2023-01-28 00:00:00;Sábado;2.0;;;0065
2023-01-28 00:00:00;Sábado;2.0;;;0021
2023-01-30 00:00:00;Segunda;2.0;;;0061
2023-01-30 00:00:00;Segunda;2.0;;;0097
2023-01-30 00:00:00;Segunda;1.0;;;0118
2023-01-30 00:00:00;Segunda;1.0;;;0132
2023-01-30 00:00:00;Segunda;1.0;;;0044
2023-01-31 00:00:00;Terça;1.0;;;0025
2023-01-31 00:00:00;Terça;1.0; 04/10;;0008
2023-01-31 00:00:00;Terça;1.0;;;0105
2023-01-31 00:00:00;Terça;2.0;;;0107
2023-02-01 00:00:00;Quarta;2.0;;;0050
2023-02-01 00:00:00;Quarta;1.0;;;0084
2023-02-01 00:00:00;Quarta;1.0;;;0095
2023-02-01 00:00:00;Quarta;1.0;;;0100
2023-02-02 00:00:00;Quinta;1.0;;;0099
2023-02-02 00:00:00;Quinta;1.0;;;0056
2023-02-02 00:00:00;Quinta;2.0;;;0046
2023-02-02 00:00:00;Quinta;1.0;;;0082
2023-02-03 00:00:00;Sexta;1.0;;;0044
2023-02-03 00:00:00;Sexta;4.0;;;0010
2023-02-03 00:00:00;Sexta;1.0; 01/03;;0089
2023-02-04 00:00:00;Sábado;1.0; 05/10;;0008
2023-02-04 00:00:00;Sábado;2.0;;;0050
2023-02-04 00:00:00;Sábado;1.0;;;0129
2023-02-04 00:00:00;Sábado;2.0;;;0020
2023-02-06 00:00:00;Segunda;1.0; 03/10;;0004
2023-02-06 00:00:00;Segunda;1.0;;;0056
2023-02-06 00:00:00;Segunda;2.0;;;0097
2023-02-06 00:00:00;Segunda;3.0;;;0134
2023-02-06 00:00:00;Segunda;1.0;;;0112
